,Date,Death,Injuries,Location_x,Location_y,High School Name,School Type,Others,description
243,5/13/16,,,,"Greenville, SC",Southside High School,High School,Gun fired unintentionally resulting in injury or death,
244,5/11/16,,,,"Jamaica, NY",St. John's University,College or University,Gun fired but no one injured,
245,5/6/16,,,,"Panama City, FL",Oscar Patterson Elementary School,Elementary School,Gun fired unintentionally resulting in injury or death,
246,5/6/16,,,,"Columbia, MO",University of Missouri,College or University,Gun fired but no one injured,
247,5/6/16,,,,"Twin Falls, ID",Robert Stuart Middle School,Middle School,Gun fired but no one injured,
248,5/5/16,,,,"Beltsville, MD",High Point High School,High School,Attack on other persons(s) resulting in injury or death,
249,5/2/16,,,,"Dallas, TX",Kimball High School,High School,Gun fired unintentionally resulting in injury or death,
250,4/29/16,,,,"Charleston, WV",University of Charleston,College or University,Gun fired but no one injured,
251,4/16/16,,,,"Tuskegee, AL",Tuskegee University,College or University,Attack on other persons(s) resulting in injury or death,
252,4/2/16,,,,"Manhattan, KS",Kansas State University,College or University,"Attempted or completed suicide, with no intent to injure other person",
253,3/27/16,,,,"Tacoma, WA",University of Puget Sound,College or University,Gun fired but no one injured,
254,3/23/16,,,,"Charlotte, NC",Johnson C. Smith University,College or University,Attack on other persons(s) resulting in injury or death,
255,3/21/16,,,,"Atlanta, GA",Georgia State University,College or University,Attack on other persons(s) resulting in injury or death,
256,3/15/16,,,,"Birmingham, AL",Huffman High School,High School,Attack on other persons(s) resulting in injury or death,
257,2/26/16,,,,"Palestine, TX",Palestine High School,High School,Attack on other persons(s) resulting in injury or death,
258,2/17/16,,,,"Homosassa, FL",Rock Crusher Elementary School,Elementary School,Gun fired but no one injured,
259,1/20/16,,,,"Indianapolis, IN",Northwest Community High School,High School,Gun fired but no one injured,
260,1/13/16,,,,"Camden, AR",Harmony Grove High School,High School,Gun fired unintentionally resulting in injury or death,
261,1/12/16,,,,"Dover, DE",Central Middle School,Middle School,Gun fired but no one injured,
262,12/29/15,,,,"Greeley, CO, CO",Aims Community College,College or University,"Attempted or completed suicide, with no intent to injure other person",
263,12/18/15,,,,"Jackson, TN",Lane College,College or University,Gun fired but no one injured,
264,11/29/15,,,,"Columbus, OH",Ohio State University,College or University,"Attempted or completed suicide, with no intent to injure other person",
265,11/11/15,,,,"Sulphur Rock, AR",Sulphur Rock Magnet School,Middle School,Gun fired unintentionally resulting in injury or death,
266,11/10/15,,,,"Lecanto, FL",Lecanto High School,High School,"Attempted or completed suicide, with no intent to injure other person",
267,11/5/15,,,,"Moultrie, GA",Vereen School,Middle School,Gun fired but no one injured,
268,10/25/15,,,,"Durham, NC",North Carolina Central University,College or University,Attack on other persons(s) resulting in injury or death,
269,10/24/15,,,,"San Antonio, TX",Ed White Middle School,Middle School,Attack on other persons(s) resulting in injury or death,
270,10/15/15,,,,"Langston, OK",Langston University,College or University,Gun fired but no one injured,
271,10/15/15,,,,"San Antonio, TX",Wagner High School,High School,Gun fired but no one injured,
272,10/11/15,,,,"Tampa, FL",University of South Florida,College or University,Gun fired but no one injured,
273,10/6/15,,,,"Houston, TX",Texas Southern University,College or University,Attack on other persons(s) resulting in injury or death,
274,10/2/15,,,,"University City, MO",University City High School,High School,Attack on other persons(s) resulting in injury or death,
275,9/28/15,,,,"Butte, MT",Montana Tech of the University of Montana,College or University,Gun fired but no one injured,
276,9/22/15,,,,"Statesville, NC",Central Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,
277,9/11/15,,,,"Lafayette, LA",Northside High School,High School,Attack on other persons(s) resulting in injury or death,
278,8/26/15,,,,"Houston, TX",Texas Southern University,College or University,Attack on other persons(s) resulting in injury or death,
279,8/25/15,,,,"Augusta, GA",Hornsby Elementary School,Elementary School,Gun fired unintentionally resulting in injury or death,
280,8/23/15,,,,"Richmond, TX",William Velasquez Elementary,Elementary School,Gun fired but no one injured,
281,8/8/15,,,,"Paradise, TX",Paradise High School,High School,Gun fired but no one injured,
282,8/8/15,,,,"Wichita, KS",Wichita State,College or University,Attack on other persons(s) resulting in injury or death,
283,7/27/15,,,,"Gainesville, FL",University of Florida,College or University,Gun fired but no one injured,
284,7/24/15,,,,"Converse, TX",Elolf Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,
285,7/5/15,,,,"Dallas, TX",Coppell Middle School East,Middle School,Attack on other persons(s) resulting in injury or death,
286,6/23/15,,,,"Fort Calhoun, NE",Fort Calhoun Elementary School,Elementary School,Gun fired but no one injured,
287,6/4/15,,,,"Franklin, NC",South Macon Elementary School,Elementary School,Gun fired but no one injured,
288,5/27/15,,,,"Everglades City, FL",Everglades City School,Preschool,Attack on other persons(s) resulting in injury or death,
289,5/20/15,,,,"Robinson, TX",Robinson High School,High School,"Attempted or completed suicide, with no intent to injure other person",
290,5/5/15,,,,"Conyers, GA",Conyers Middle School,Middle School,Gun fired but no one injured,
291,5/4/15,,,,"Orem, UT",Utah Valley Univeristy,College or University,Gun fired unintentionally resulting in injury or death,
292,5/4/15,,,,"Cleveland, OH",Willow Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,
293,4/22/15,,,,"Las Vegas, NV",Ruthe Deskin Elementary School,Elementary School,Gun fired but no one injured,
294,4/19/15,,,,"Dover, DE",Delaware State University,College or University,Attack on other persons(s) resulting in injury or death,
295,4/19/15,,,,"Charlotte, NC",Johnson C. Smith University,College or University,Attack on other persons(s) resulting in injury or death,
296,4/18/15,,,,"Dover, DE",Delaware State University,College or University,Attack on other persons(s) resulting in injury or death,
297,4/17/15,,,,"Seguin, TX",Seguin High School,High School,"Attempted or completed suicide, with no intent to injure other person",
298,4/4/15,,,,"Everett, WA",Everett Community College,College or University,Gun fired but no one injured,
299,4/2/15,,,,"Monaca, PA",Community College of Beaver County,College or University,Gun fired unintentionally resulting in injury or death,
300,4/2/15,,,,"Jackson, TN",Lane College,College or University,Attack on other persons(s) resulting in injury or death,
301,2/15/15,,,,"Little Rock, AR",Lawson Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,
302,2/15/15,,,,"Athens, GA",University of Georgia,College or University,Gun fired but no one injured,
303,2/15/15,,,,"Merced, CA",Tenaya Middle School,Middle School,Attack on other persons(s) resulting in injury or death,
304,2/5/15,,,,"Columbia, SC",University of South Carolina,College or University,Attack on other persons(s) resulting in injury or death,
305,2/2/15,,,,"Mankato, MN",Minnesota State University,College or University,"Attempted or completed suicide, with no intent to injure other person",
306,1/26/15,,,,"Roseville, MN",Hand and Hand Montessori,Preschool,Attack on other persons(s) resulting in injury or death,
307,1/23/15,,,,"Hardeeville, SC",Royal Live Oaks Academy,K-12 School,Gun fired but no one injured,
308,12/17/14,,,,"Waterville, ME",Benton Elementary School,Elementary School,"Attempted or completed suicide, with no intent to injure other person",
309,12/17/14,,,,"Pittsburgh, PA",Sunnyside Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,
310,11/23/14,,,,"Annapolis, MD",St Johns College,College or University,Attack on other persons(s) resulting in injury or death,
311,10/21/14,,,,"Memphis, TN",A. Maceo Walker Middle School,Middle School,Gun fired unintentionally resulting in injury or death,
312,10/18/14,,,,"Langston, OK",Langston University,College or University,Attack on other persons(s) resulting in injury or death,
313,10/13/14,,,,"Nashville, TN",Tennessee State University,College or University,Gun fired but no one injured,
314,10/8/14,,,,"Elizabeth City, NC",Elizabeth City State University,College or University,Gun fired but no one injured,
315,9/29/14,,,,"Terre Haute, IN",Indiana State University,College or University,Attack on other persons(s) resulting in injury or death,
316,9/10/14,,,,"Lake Mary, FL",Greenwood Lakes Middle School,Elementary School,"Attempted or completed suicide, with no intent to injure other person",
317,9/5/14,,,,"Savannah, GA",Savannah State University,College or University,Attack on other persons(s) resulting in injury or death,
318,9/2/14,,,,"Pocatello, ID",Idaho State University,College or University,Gun fired unintentionally resulting in injury or death,
319,8/14/14,,,,"Newport News, VA",Saunders Elementary,Elementary School,Attack on other persons(s) resulting in injury or death,
320,8/13/14,,,,"Fredrick, MD",Heather Ridge High school,High School,Gun fired but no one injured,
321,6/27/14,,,,"Miami, FL",University of Miami,College or University,Gun fired but no one injured,
322,6/23/14,,,,"Benton, MO",Kelly High School,High School,Gun fired unintentionally resulting in injury or death,
323,5/21/14,,,,"Milwaukee, WI",Clarke Street School Playground,Elementary School,Attack on other persons(s) resulting in injury or death,
324,5/3/14,,,,"Everett, WA",Horizon Elementary,Elementary School,Attack on other persons(s) resulting in injury or death,
325,5/2/14,,,,"Milwaukee, WI",Marquette University,College or University,Attack on other persons(s) resulting in injury or death,
326,4/21/14,,,,"Griffith, IN",St. Mary Catholic School,Elementary School,Attack on other persons(s) resulting in injury or death,
327,4/21/14,,,,"Provo, UT",Provo High School,High School,"Attempted or completed suicide, with no intent to injure other person",
328,4/16/14,,,,"Council Bluffs, IA",Iowa Western Community College,College or University,Attack on other persons(s) resulting in injury or death,
329,4/3/14,,,,"Kent, OH",Kent State University,College or University,Gun fired unintentionally resulting in injury or death,
330,3/30/14,,,,"Savannah, GA",Savannah State University,College or University,Gun fired but no one injured,
331,3/23/14,,,,"Newark, DE",University of Delaware,College or University,Gun fired but no one injured,
332,3/8/14,,,,"Oshkosh, WI",University of Wisconsin - Oshkosh,College or University,Gun fired but no one injured,
333,3/7/14,,,,"Tallulah, LA",Madison Parish High School,High School,Attack on other persons(s) resulting in injury or death,
334,3/2/14,,,,"Westminster, MD",McDaniel College,College or University,Gun fired but no one injured,
335,2/20/14,,,,"Raytown, MO",Raytown Success Academy,Preschool,Attack on other persons(s) resulting in injury or death,
336,2/11/14,,,,"Lyndhurst, OH",Charles F. Brush High School,High School,Gun fired but no one injured,
337,2/7/14,,,,"Bend, OR",Bend High School,High School,"Attempted or completed suicide, with no intent to injure other person",
338,1/15/14,,,,"Lancaster, PA",King Elementary School,Elementary School,Gun fired but no one injured,
339,11/21/13,,,,"Rapid City, SD",South Dakota School of Mines & Technology,College or University,Attack on other persons(s) resulting in injury or death,
340,11/1/13,,,,"Algona, IA",Algona High/Middle School,Middle School,"Attempted or completed suicide, with no intent to injure other person",
341,10/15/13,,,,"Austin, TX",Lanier High School,High School,"Attempted or completed suicide, with no intent to injure other person",
342,9/28/13,,,,"Gray, ME",Gray-New Gloucester High School,High School,"Attempted or completed suicide, with no intent to injure other person",
343,9/21/13,,,,"Savannah, GA",Savannah State University,College or University,Attack on other persons(s) resulting in injury or death,
344,8/22/13,,,,"Memphis, TN",Westside Elementary School,Elementary School,Gun fired but no one injured,
345,8/15/13,,,,"Clarksville, TN",Northwest High School,High School,Attack on other persons(s) resulting in injury or death,
346,6/19/13,,,,"West Palm Beach, FL",Alexander W. Dreyfoos School of the Arts,High School,Attack on other persons(s) resulting in injury or death,
347,5/3/13,,,,"Hattiesburg, MS",University of Southern Mississippi,College or University,Gun fired unintentionally resulting in injury or death,
348,4/29/13,,,,"Cincinnati, OH",La Salle High School,High School,"Attempted or completed suicide, with no intent to injure other person",
349,4/15/13,,,,"Grambling, LA",Grambling State University,College or University,Attack on other persons(s) resulting in injury or death,
350,4/13/13,,,,"Elizabeth City, NC",Elizabeth City State University,College or University,Attack on other persons(s) resulting in injury or death,
351,3/21/13,,,,"Southgate, MI",Davidson Middle School,Middle School,"Attempted or completed suicide, with no intent to injure other person",
352,2/27/13,,,,"Atlanta, GA",Henry W. Grady High School,High School,Gun fired unintentionally resulting in injury or death,
353,2/13/13,,,,"San Leandro, CA",Hillside Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death,
354,2/1/13,,,,"Altanta, GA",Morehouse College,College or University,Attack on other persons(s) resulting in injury or death,
355,1/8/13,,,,"Fort Myers, FL",Apostolic Revival Center Christian School,Elementary School,Attack on other persons(s) resulting in injury or death,
